Project	Title	Abstract	Sequence Runs
SRP066089	Deep metagenome and transcriptome analyses of microbial communities in an industrial biogas fermenter, a cow rumen, and elephant feces identify major differences with respect to hydrolysis of carbohydrates	A study to investigate differences in the hydrolysis of lignocellulosic biomass between an industrial biogas fermenter and highly effective natural cellulolytic systems	SRR2917896,SRR2917897,SRR2917898,SRR2917899
SRP099516	Avena fatua rhizosphere microbial communities - H2_Rhizo_Litter_7 metatranscriptome	 	SRR5252352
SRP098069	Groundwater microbial communities from the Columbia River, Washington, USA - GW-RW N2_30_40 metagenome	Coupling Microbial Communities to Carbon and Contaminant Biogeochemistry in the Groundwater-Surface Water Interaction Zone	SRR5209622
SRP081480	Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI - Type I metagenome	 	SRR4023301
SRP092476	Synthetic human gut microbiota (14 species) assembled in gnotobiotic mice alternately (daily change) fed Prebiotic and fiber-free diets transcriptome	The goal of this study was to determine transcriptome (RNASeq) of a synthetic human gut microbiota asssembled in gnotobiotic mice that were alternated between Prebiotic and fiber-free diets on a daily basis. The synthetic human gut microbiota comprises of the following 14 species: Bacteroides thetaiotaomicron, Bacteroides ovatus, Bacteroides caccae, Bacteroides uniformis, Barnesiella intestinihominis, Eubacterium rectale, Marvinbryantia formatexigens, Collinsella aerofaciens, Escherichia coli HS, Clostridium symbiosum, Desulfovibrio piger, Akkermansia muciniphila, Faecalibacterium prausnitzii and Roseburia intestinalis. Sample origin: mouse cecum	SRR4841891,SRR4841892
SRP100226	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP12_OM3 metagenome	 	SRR5271166
SRP077422	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - August 2008 P26 500m metagenome	 	SRR3724176
SRP100314	Freshwater lake sediment microbial communities from the University of Notre Dame, USA, for methane emissions studies - PLP11 PL metagenome	 	SRR5272498
SRP080526	Freshwater and sediment microbial communities from Lake Erie, USA metagenome	 	SRR3989451
SRP100231	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S2LV_130m_DNA metagenome	 	SRR5271171
SRP104900	Estuarine microbial communities from the Columbia River estuary - metaG 1556A-3 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5468387
SRP092126	Tu''i Malila hydrothermal vent chimney Metagenomic assembly	Metagenomic sequencing of a piece of White smoker chimney from the northern part of the Tuâ€™i Malila vent field (176Â° 34.060â€™ W, 21Â°59.350â€™ S), a large (~15 cm) to compare the community composition of chimney vs surrounding sediments.	SRR4453772
SRP099674	Tabebuia heterophylla rhizosphere microbial communities from the University of Puerto Rico - S4T2R2 metagenome	 	SRR5256987
SRP080033	Marine microbial communities from the Deep Pacific Ocean - MP2052 metagenome	 	SRR3962508
SRP107626	Active sludge microbial communities from Klosterneuburg, Austria, studying microevolution and ecology of nitrifiers - Klosterneuburg WWTP active sludge metagenome KNB5-Ph metagenome	Raman-based microcolony genomics and transcriptomics for studying microevolution and ecology of nitrifiers	SRR5580754
SRP098381	Serpentine soil microbial communities from UC McLaughlin Reserve, CA, USA - Plot26 metagenome	Metagenome sequencing to understand how soil microbial responses to environmental change	SRR5215203
SRP097993	Soil and rhizosphere microbial communities from Centre INRS-Institut Armand-Frappier, Laval, Canada - Soil microcosm metaTmtHPA metatranscriptome	Metagenomic and Metatranscriptomic Analysis of Soil Biogeochemical Processes Sustained by Interspecific Transfer of Molecular Hydrogen	SRR5208341
ERP011683	Nasal_Microbiome	http://www.sanger.ac.uk/resources/downloads/bacteria/	ERR1109297,ERR1109299,ERR1109300,ERR1109301,ERR1109303,ERR1109308,ERR1109309,ERR1109311
SRP099326	Olavius algarvensis symbiont microbial communities from Tuscany, Italy - Type G ELBA extract 1 metagenome	 	SRR5248184
SRP004848	Population genomics and local adaptation in wild isolates of a model microbial eukaryote	Elucidating the connection between genotype, phenotype and adaptation in wild populations is fundamental to the study of evolutionary biology, yet it remains an elusive goal, particularly for microscopic taxa, which comprise the majority of life. Even for microbes that can be reliably found in the wild, defining the boundaries of their populations and discovering ecologically relevant phenotypes has proved extremely difficult. Here, we have circumvented these issues in the microbial eukaryote Neurospora crassa by utilizing a â€œreverse-ecologyâ€ population genomic approach that is free of a priori assumptions about candidate adaptive alleles. We performed Illumina whole-transcriptome sequencing of 48 individuals to identify single nucleotide polymorphisms. From these data, we discovered two cryptic and recently diverged populations, one in the tropical Caribbean basin and the other endemic to subtropical Louisiana. We conducted high-resolution scans for chromosomal regions of extreme divergence between these populations and found two such genomic â€œislands.â€ Through growth-rate assays, we found that the subtropical Louisiana population has a higher fitness at low temperature (10Â°C) and that several of the genes within these distinct regions have functions related to the response to cold temperature. These results suggest the divergence islands may be the result of local adaptation to the 9Â°C difference in average yearly minimum temperature between these two populations. Remarkably, another of the genes identified using this unbiased, whole-genome approach is the well-known circadian oscillator frequency, suggesting that the 2.4Â° â€“ 10.6Â° difference in latitude between the populations may be another important environmental parameter.	SRR080687,SRR080688,SRR081479,SRR081546,SRR081586,SRR081801,SRR089764,SRR089765,SRR089766,SRR089767,SRR089768,SRR089769,SRR089771,SRR089778,SRR089779,SRR089780,SRR089782,SRR089783,SRR089825,SRR089826,SRR089827,SRR089829,SRR089831,SRR089833,SRR089834,SRR089835,SRR089836,SRR089837,SRR089840,SRR089842,SRR089843,SRR089844,SRR089845,SRR089846,SRR090355,SRR090360,SRR090362,SRR090363,SRR090364,SRR090366,SRR090465,SRR090466,SRR090467,SRR090468,SRR090469,SRR090470
SRP097361	WWTP_virome	Sludge bulking is notorious in activated sludge processes, always coupled with dramatic changes in bacterial community compositions and functions. Despite a huge number of bacteriophages present in sludge systems, the response of viral communities to sludge bulking is unknown. In this study, the viral communities in an activated sludge plant under different sludge conditions were examined by high-throughput sequencing of viral metagenomes.	SRR5192446,SRR5192447,SRR5192448
SRP080651	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-ROWE17-D metagenome	 	SRR3989711
SRP110353	Mouse cecal microbial communities from Vienna, Austria - Mucin amended with D2O metagenome	Raman sorted cells from Mucin amended microcosms containing mouse cecal biomass incubated with D2O	SRR5754687
ERP001119	Combining_VIDISCA_virus_discovery_with_Illumina__Deep_Sequencing	VIDISCA is a powerful method for identifying novel infectious agents in a sequence independent manner.(van der Hoek et al, 2004, Nature Medicine 10:368-73). The sensitivity of the method would be greatly enhanced by coupling VIDISCA with  the deep sequencing provided by Illumina methods. The current study is exploring the sample preparation conditions and the adapters required to merge these two methods.	ERR233422,ERR233436,ERR233454,ERR233455,ERR233461,ERR233469,ERR233470,ERR233472,ERR233473,ERR233474,ERR298320,ERR298323,ERR346933,ERR346944,ERR417411,ERR417413,ERR417416,ERR422488,ERR422489,ERR525188,ERR554045,ERR554046,ERR563007,ERR563008,ERR563010,ERR563012,ERR570047,ERR596182,ERR600069,ERR600074,ERR600076,ERR658316,ERR658321,ERR658323,ERR658324,ERR658325,ERR658329,ERR658331,ERR658333,ERR658336,ERR658341,ERR658342,ERR658345,ERR876364,ERR876366,ERR876371,ERR876372,ERR876374,ERR876377,ERR876380,ERR876382,ERR876392,ERR876393,ERR876395,ERR876397,ERR876399,ERR876400,ERR876404,ERR876414,ERR876423,ERR876424,ERR876429
SRP080656	Soil microbial communities from Kellog Biological Station, Michigan, USA - Nitrogen cycling UWRJ-G09K4-12	Soil microbial communities from Kellog Biological Station, Michigan, USA	SRR3990166
